  Year  Digital  Title
  2020       no  personel guclendirmenin rekabet zekâsina etkisi turizm sektorunde bir arastirma
  2021       no  congenital heart disease and air travel
  2014       no  ecology based tourism potential with regard to alternative tourism activities in altindere valley trabzon macka
  2021       no  destination image perception patterns of tourist typologies
  2018       no  an assessment of the acceptance of government issued tourism strategies a case of tourism students
  2011       no  how to manage yacht tourism in turkey a swot analysis and related strategies
  2011       no  fourth advances in tourism marketing conference atmc 2011
  2017       no  psikolojik kontrat ile orgutsel bağlilik ve orgutsel guven ilişkisi mersin ilindeki 4 ve 5 yildizli otel işletmelerinde bir uygulama
  2016       no  spor turizminin gelisimine yonelik alan arastirmasi gaziantep ornegi
  2014       no  service rewards and prosocial service behaviours among employees in four and five star hotels in cappadocia
  2013       no  liderligin etik boyutu etik liderligin otel isletmelerindeki isgorenler tarafindan algilanmasi
  2010       no  turkiye de kultur turizminin urun yapisi ve somut kultur varliklarina dayali urun farklilastirma ihtiyaci
  2017       no  the opinions of the local people of hacibektas town about cultural tourism and haci bektas veli
  2016       no  doga temelli erisilebilir turizm rize ornegi nature based accessible tourism case of rize
  2010       no  isgorenlerin egitim ve orgutsel baglilik duzeyleri arasindaki iliski belek bolgesindeki bes yildizli otel isletmelerinde bir arastirma
  2013       no  dogrudan pazarlama araclarinin konaklama isletmelerinde kullanimi antalya ili ornegi
  2019       no  the dynamic impacts of renewable energy and tourism investments on international tourism evidence from the g20 countries
  2017       no  otelenmis hayatlar engelliye bakan kadin olmak
  2018       no  turkish and european migration experiences then and now evolving narratives of reciprocity belonging hospitality and vulnerability
  2004       no  tourism growth national development and regional inequality in turkey
  2003       no  tourism growth national development and regional inequality in turkey
  2008       no  royal tourism excursions around monarchy p long n j palmer eds channel view publications clevedon 2007 268pp 23 96 paperback isbn 978 1 84541 080 3
  2017       no  women in turkish tourism
  2004       no  a profile of turkish tourism
  2016       no  ahp ve copras yontemleri ile otel alternatiflerinin değerlendirilmesi
  2017       no  turkiye de turizm ve beseri sermaye gelisimi iliskisi 1970 2013 nedensellik yaklasimi
  2020       no  galata kulesi ve kiz kulesi nin soylence turizmi kapsaminda incelenmesi
  2016       no  constantin francois volney in seyahatnamesinde suriye
  2010       no  mobile advergames in tourism marketing
  2004       no  evaluation of congress tourism development in the world and in turkey
  2015       no  the determination and investigation of evaluation habits of the people playing football in astro pitches on their leisure time
  2017       no  a hotel in anatolia in the last period of the ottoman empire hotel tadia 1892 1922
  2013       no  culture tourism as a sustainable tourism type the ephesus example
  2010       no  turizm sektorune saglanan dogrudan yabanci sermaye yatirimlarinin dysy ekonomik buyume uzerine olan olasi etkisi turkiye ornegi 1986 2006
  2017       no  turizm islemelerinde surdurulebilir rekabet ustunlugu kaynagi olarak stratejik insan kaynaklari yonetimi
  2020       no  gender discrimination at job application process an experimental study at hotels
  2020       no  planli davranis teorisi ve turizm uzerine yapilan uluslararasi yayinlarin bibliyometrik analizi
  1999       no  technological aspects of wastewater management in coastal tourist areas
  2019       no  the impact of electronic word of mouth marketing on the generation y s intention to buy tourism services
  2007       no  local authorities and ngos perceptions of tourism development and urbanization in alanya
  2016       no  pescatourism a european review and perspective
  2020       no  the impact of economic and political crises on the survival of tourism related firms evidence from antalya
  2017       no  macro explanatory factors of turkish tourism companies stock returns
  2017       no  nepotizm algisinda demografik ozelliklerin rolu otel isletmeleri isgorenleri uzerinde bir arastirma
  2021       no  the tourism sector s impact on carbon emissions an empirical analysis of transitioning g20 countries
  2015       no  otel isletmelerinde isgorenlerin olumlu sosyal davranislarinin hizmet kalitesi uzerine etkisi nevsehir ornegi
  2014       no  ecotourism activities for sustainability and management of forest protected areas a case of camili biosphere reserve area turkey
  2020       no  gamma ray shielding parameters of lithium borotellurite glasses using geant4 code
  2011       no  impact of culture on tourist decision making styles
  2015       no  the exchange rate risk of turkish tourism firms
  2015       no  doğu karadeniz de gelişme potansiyeli yuksek bir yayla turizm merkezi kulakkaya yaylasi
  2010       no  variety of modes of governance of a global value chain the case of tourism from holland to turkey
  2020       no  modelling and forecasting inbound tourism demand to croatia using artificial neural networks a comparative study cuhadar m 2020 modelling and forecasting inbound tourism demand to croatia using artificial neural networks a comparative study journal of tourism and services 21 11 55 70 doi 10 29036 jots v11i21 171
  2014       no  tourism pressure in protected areas butterflies valley case
  2018       no  rural tourism contributions to rural development in the eastern black sea region of turkey
  2013       no  volatility in tourist inflows evidence from turkey
  2013       no  emergence and spread of an all inclusive system in the turkish tourism sector and strategic responses of accommodation firms
  2010       no  ecotourism potential of gallipoli peninsula historical national park
  2020       no  the effects of rewards and proactive personality on turnover intentions and meaning of work in hotel businesses
  2013       no  aristoteles ve augustinus un insan anlayislari uzerine
  2012       no  the impact of competition conditions on new market entrants in istanbul hotel industry an analyse by using five forces of competitive position model of m porter
  2018       no  toplumsal donusumu mekân uzerinden okumak istanbul hilton oteli ornegi
  2011       no  brand personality of tourist destinations an application of self congruity theory
  2017       no  the concept of quality function deployment qfd and an application of the concept in dedeman konya hotel and convention center
  2019       no  sağlik turizmi ve turizm sağliğina bir bakiş
  2015       no  examining the variations in the results of the hotelling t 2 test in case of changing baseline landmarks in the bookstein coordinates
  2013       no  polonyali hotel lambert ve buyuk sirbistan nacertanije plani 1840 1844 polish hotel lambert and his great serbia nacertanije plan 1840 1844
  2016       no  degis tokus ve kiralama uygulamalarinin konaklama isletmeleri uzerindeki olasi etkileri
  2014       no  film tourism triangulation of destinations
  2019       no  leisure involvement level of 40 and over aged individuals
  2016       no  noncompliance to smoke free law which hospitality premises are more prone
  2020       no  leisure activities in turkey during stay at home time
  2018       no  why do tourists spend extravagantly in portugal a binary logistic regression by quartiles
  2015       no  social media utilization of tourists for travel related purposes
  2016       no  a re examination of the relationship between tourism and healthcare
  2006       no  monitoring turbid freshwater plume characteristics by means of remotely sensed data
  2005       no  el factor de crecimiento endotelial vascular en los derrames pleurales benignos y malignos
  2015       no  leisure aspects of turkish coffee consumption rituals an exploratory qualitative study
  2020       no  otel isletmelerinde tuketicilerin hizmet uzantisi algilamalari ile memnuniyet duzeyleri arasindaki iliskiyi belirlemeye yonelik bir arastirma
  2011       no  the effects of mass tourism a case study from manavgat antalya turkey
  2020       no  isveren markasi ve isveren markasinin duygusal baglilik uzerindeki etkisi konaklama isletmelerinde bir uygulama
  2012       no  promotional activities in hotels applications in the turkey s region of cappadocia
  2010       no  an analysis of snow options for ski resort establishments
  2020       no  serious leisure career in students career future
  2020       no  determination of recreation and tourism use value of bozcaada by travel cost analysis methods
  2016       no  mobile communication and applications in tourism
  2017       no  the influence of films on destination attributes das for arabian tourists in turkey
  2020       no  application of exploratory spatial techniques in the identification of tourism hotspots in the aegean region of turkey
  2020       no  leisure activity participation exercise level and perceived freedom in university students akdeniz university example
  2021       no  sustainability tourism and socio economic development
  2014       no  geography teacher candidates perceptions of geotourism
  2019       no  investigating the relationships between quality of life fatigue and leisure time physical activity in prostate cancer patients
  2012       no  implementation of web based biotelemetry applications on wimax networks
  2015       no  a multi attribute decision support model for the selection of touristic activities
  2016       no  examining the effect of artificial wall climbing as a leisure time activity on undergraduate s problem solving skills
  2014       no  a theoretical approach to the tourism businesses marketing plan and management process
  2021       no  butik otellerin yiyecek ve icecek departmanlarina yonelik e şikâyetlerin analizi akyaka yavas şehir cittaslow ornegi
  2016       no  risk management for sustainable tourism
  2019       no  transformation process of tourism schools into faculties in turkey
  2021       no  green innovation research in the field of hospitality and tourism the construct antecedents consequences and future outlook
  2020       no  eskisehir in ilinde inanc turizmi uzerine bir degerlendirme odunpazari ornegi
  2016       no  mesleki baglilik turist rehberleri uzerine bir inceleme vocational commitment a study into tourist guides
  2011       no  the biological precedents for medieval impetus theory and its aristotelian character
  2016       no  hydraulic modeling of a water distribution network in a tourism area with highly varying characteristics
  2016       no  the contribution of sport games take place in turkey on tourism and economy
  2015       no  degisen dunya donusen pazarlama turkiye turizm sektorunden oncu bir mobil uygulama ornegi
  2020       no  the mediating role of proactive personality in the relationship between hexaco personality and motivation to learn a study on hospitality sector employees
  2020       no  kucuk konaklama isletmelerinde karsilastirmali performans analizi belediye belgeli konaklama isletmeleri uzerinde bir arastirma
  2019       no  social studies teachers views about values education and tourism
  2016       no  the effects of managers business ethics applications on employees job satisfaction a study on hotels in turkey
  2015       no  food tourism a practical marketing guide
  2020       no  attachment styles and job performance in the hospitality industry the mediating role of general self efficacy
  2020       no  covid 19 salgini sonrasi yukselen trend kirsal turizm zile ornegi
  2021       no  koronavirus covid 19 surecinde ic turizmin talepleri ve turizm isletmeleri yoneticilerinin ic turizme yonelik bakis acilarinin incelenmesi
  2007       no  sustainable rural tourism in akseki sarihacilar village
  2021       no  sanal kaytarma ankara da bulunan a grubu seyahat acenteleri uzerine bir arastirma
  2016       no  impact of climate change on natural snow reliability snowmaking capacities and wind conditions of ski resorts in northeast turkey a dynamical downscaling approach
  2010       no  tourists perception of landscape design the case of resorts in the belek specially protected area
  2017       no  investigating the impacts of energy consumption real gdp tourism and trade on co2 emissions by accounting for cross sectional dependence a panel study of oecd countries
  2009       no  advances in tourism marketing research introduction to a special issue on consumer behavior in tourism destinations
  2019       no  turkish tourism and hospitality students international posture attitudes toward the international community
  2016       no  şehir otellerinde satin alma islevi eskisehir deki otel isletmeleri uzerine bir arastirma
  2018       no  multilayered implantable antenna design for biotelemetry communication
  2014       no  turizm sektorunde teşvik veren kurumlarin ahp yontemi ile belirlenmesi kastamonu orneği
  2010       no  planning of tourism development the case of antalya
  2018       no  turkiye de sağlik turizminin potansiyeli ve geleceği swot analizi
  2020       no  food rural heritage and tourism in the local economy case studies in serbia romania italy and turkey
  2020       no  şanliurfa yi ziyaret eden turistlerin seyahat motivasyonlari
  2019       no  ahs ve maut yontemi ile en ideal hizmet kalitesi kriterlerine sahip olan isletmenin belirlenmesi ordu ilindeki oteller uzerinde bir arastirma
  2015       no  surdurulebilir turizm perspektifinde hibridite ve paydas yaklasimi almanya ingiltere ve turkiye kiyaslamalari stakeholder and hybridity approach from the perspective of sustainable tourism comparisons of germany the uk and turkey
  2021       no  effects of high performance work systems hpwss on intellectual capital organizational ambidexterity and knowledge absorptive capacity evidence from the hotel industry
  2015       no  determination of organizational stress and organizational burnout levels of mid level managers working in four and five star hotel businesses
  2021       no  a theory of collateral for the lender of last resort
  2018       no  an assessment of competitive factors in medical tourism new reserch opportunity for turkey
  2020       no  turist rehberlerinin gozlemlerinden turistlerin gastronomik tercihlerinin saptanmasi
  2011       no  scaling territoriality and networks of a tourism place
  2011       no  the calculation approach for leakages of international tourism receipts the turkish case
  2019       no  hasan olali pioneer of tourism education and research in turkey
  2019       no  otel işletmelerinde işten ayrilma niyetinin yordayicisi olarak iş guvencesi algisi işe gomulmuşluğun araci rolu
  2019       no  turizme dayali buyume modeli ile ekonomiye dayali turizm buyumesi modelinin test edilmesi panel veri analizi
  2021       no  hospitality employee s mindfulness and its impact on creativity and customer satisfaction the moderating role of organizational error tolerance
  2012       no  customer deviance in resort hotels the case of turkey
  2012       no  two micro models of tourism capitalism and the re scaling of state business relations
  2014       no  koroner kollateral gelisimi ile endotel fonksiyonlariarasindaki iliski
  2021       no  john lewis burckhardt arabistan seyahatleri temmuz 1814 haziran 1815 buyuyenay istanbul 2019 502 s isbn 978 605 2071 94 6
  2015       no  the impact of exchange rate on tourism industry the case of turkey
  2021       no  motivations and experiences of tourists visiting hasankeyf as a last chance tourism destination
  2005       no  tarihi kentsel mekanlari koruma olgusunun turizme etkileri ve sultanahmet cevresi icin bir oneri
  2010       no  measuring the seasonality in tourism with the comparison of different methods
  2010       no  creative cities and cultural spaces new perspectives for city tourism
  2003       no  international leisure tourists involvement profile
  2017       no  a study on the effects of demographic factors on hotel selection process
  2016       no  the effect of social media marketing on brand trust and brand loyalty for hotels
  2015       no  vadeli işlem piyasalarinda haftanin gunleri etkisi ve tatil anomalisinin tespiti uzerine bir analiz
  2014       no  otel isletmelerinde calisan personelin iletisim yeterlilik duzeyi gaziantep bolgesinde bir arastirma
  2016       no  turkiye de turizm tesvik politikalarina kronolojik bir yaklasim
  2019       no  the relation between work stress work family life conflict and worker performance a research study on hospitality employees
  2014       no  managerial problems confronted by executive chefs in hotels
  2017       no  examination of the leisure attitudes of individuals living in turkey from an east to west perspective
  2019       no  the synergies between human development economic growth and tourism within a developing country an empirical model for turkey
  2015       no  turizm sektorunun turkiye nin ekonomik buyumesi uzerindeki etkisi 1963 2011
  2019      YES  advantages of augmented reality virtual reality qr code near field communication geo tagging geo fencing and geo targeting for marketing tourism
  2019       no  gazi ahmet muhtar pasa nin italya seyahati 1884
  2020       no  investigation of medical tourism in turkey through swot anp
  2008       no  an analysis of cities based on tourism supply and climatic conditions in turkey
  2016       no  kablosuz ieee 802 11b tcp ip ağlarinda mikrodenetleyici ve tumleşik web sunucu kullanilan bir biotelemetri sistemi a biotelemetry system with microcontroller and integrated web server in wireless ieee 802 11b tcp ip network
  2019       no  impact of managers innovation perception on innovation activities and innovation strategies in hotel businesses
  2014       no  recreation demands of customers in thermal tourism establishments case of balikesir province
  2020       no  hopelessness against desire to pursue a career in tourism an empirical analysis of sinop university turkey
  2017       no  assessing recreational activities service quality in hotels an examination of animation and spa wellness services
  2014       no  psychoneurobiochemistry of tourism marketing
  2015       no  gastronomy tourism as an alternative tourism an assessment on the gastronomy tourism potential of turkey
  2014       no  orta karadeniz de yeni gelisen bir termal turizm merkezi gozlek kaplicasi amasya
  2009       no  tourism regional development and public policy introduction to the special issue
  2018       no  cesitli finansal rasyolarin karlilik uzerinde etkisi oecd ulkelerindeki turizm şirketleri uzerine bir uygulama
  2019       no  brand awareness image physical quality and employee behavior as building blocks of customer based brand equity consequences in the hotel context
  2012       no  physical psychological and social aspects of qol medical tourism
  2017       no  multiple criteria decision making in hotel location does it relate to postpurchase consumer evaluations
  2003       no  the presence and antimicrobial susceptibilities of human pathogen vibrio spp isolated from blue crab callinectes sapidus in belek tourism coast turkey
  2010       no  meslek ve aile yaşami ilişkisi profesyonel turist rehberlerine yonelik bir araştirma occupation and family life relation an exploratory study for professional tourist guides
  2011       no  an investigation of resident perceptions on tourism in canakkale excuse me am i disturbing you
  2013       no  risk perceptions of a mixed image destination the case of turkey s first time versus repeat leisure visitors
  2019       no  does quality standards certification truly matter on operational and business performances of firms evidence from resort hotels
  2011       no  time varying linkages between tourism receipts and economic growth in a small open economy
  2014       no  a content analysis on the subjects of hospitality phd dissertations in turkey
  2019       no  tourism led growth and risk of the dutch disease dutch disease in turkey
  2019       no  the meaning of leisure and life satisfaction the sample of university students
  2020       no  university students alienation levels the case of the anadolu university tourism faculty
  2017       no  cultural tourism in southern africa
  2017       no  turizmin kamu kaynaklarinin dagitimindaki yeri ve gelecekteki konumu siyasetcilerin gorusleri
  2007       no  endotel progenitor hucreler
  2013       no  turkiye saglik turizm sektorunun analizi ve strateji onerileri
  2019       no  tatilde nereye gitsek turizmde analitik hiyerarsi sureci yontemi ile destinasyon secimi
  2003       no  measurement of tourist satisfaction with restaurant services a segment based approach
  2015       no  otel isletmelerinde calisan muhasebe personelinin demografik ozellikleri ile is tatmin duzeyleri arasindaki iliskinin incelenmesi trabzon otelleri uzerine bir arastirma
  2005       no  magnetotelluric imaging of the fault rupture area of the 1999 izmit turkey earthquake
  2014       no  the effects of emotional labor on job attitudes of hotel employees mediating and moderating roles of social support and job autonomy
  2015       no  determination of agricultural land changes in mugla turkey using remotely sensed data and corine methodology
  1988       no  kuzey kibris turk cumhuriyetinde turizm
  2014       no  tuketici şikayetlerinin orgutsel oğrenme araci olarak değerlendirilmesi konaklama işletmeleri ve tur operatorlerine yonelik şikayetler uzerine bir araştirma
  2021       no  turizm ogrencilerinin endustri 4 0 kavramsal farkindalik duzeyleri ve teknoloji kullanim aliskanliklari arasindaki iliski
  2020      YES  virtual reality applications in tourism
  2013       no  selecting franchise partners tourism franchisee approaches processes and criteria
  2021       no  importance performance analysis of private health facilities serving within the scope of medical tourism istanbul example
  2015       no  turkiye ye yonelik turizm talebinin gorunurde ilişkisiz regresyon modelleri ile incelenmesi
  2005       no  cagdas gereksinmeler baglaminda surdurulebilir turizm ve kimlik modeli
  2016       no  diş mekân turizm ve rekreasyon faaliyetleri acisindan muğla ili iklim konforu analizi
  2006       no  total quality management and business excellence in services the implications of all inclusive pricing system on internal and external customer satisfaction in the turkish tourism market
  2017       no  two dimensional joint inversion of direct current resistivity radio magnetotelluric and seismic refraction data an application from bafra plain turkey
  2017       no  use of structural equation modeling in ecotourism a model proposal
  2018       no  battlefield tourism an examination of events held by european institutions and their websites related to battlefields
  2009       no  the effects of occupational health and safety risk factors on job satisfaction in hotel enterprises
  2020       no  how pandemics affect tourism international evidence
  2020       no  how pandemics affect tourism international evidence
  2014       no  the sustainable usage of geothermal sources and their importance in tourism in afyonkarahisar
  2014       no  perceived social support from family participation in recreational sport activities leisure negotiation and life satisfaction in university students
  2016       no  linking polychronicity to hotel frontline employees job outcomes
  2016       no  conspicuous consumption of the elite social and self congruity in tourism choices
  2016       no  security perceptions and expectations of domestic tourists a sample of southeastern anatolia yerli turistlerin guvenlik algilarinin belirlenmesi guneydogu anadolu bolgesi ornegi
  2020       no  using ahp to prioritize barriers in developing medical tourism case of turkey
  2021       no  effects of crisis on crisis management practices a case from turkish tourism enterprises
  2020       no  coastal tourism development in sinop as an emerging rural destination a preliminary study from the residents perspective
  2020       no  the role of supply chain management and standard costing techniques in performance evaluations of hotel businesses
  2020       no  determination of customer satisfaction by text mining case of cappadocia hotels
  2016       no  gastronomi turizmi acisindan adana sokak lezzetleri adana street flavors in terms of gastronomy tourism
  2015       no  minimum turnover analysis in turkish tourism sector
  2020      YES  smart municipalities in tourism
  2014       no  robert dankoff evliya celebi seyahatnamesi okuma sozlugu
  1995       no  enzymatic profiles of prevotella porphyromonas and bacteroides species obtained with the api zym system and rosco diagnostic tablets
  2020       no  duygusal emek ve hizmet vermeye yatkinlik durumu arasindaki iliski konaklama sektoru
  2010       no  evaluation of the sustainability on cultural heritage and environmental factors in architecture from a tourism point of view ayvalik historical city center
  2019       no  the role of managers ethical leadership behaviour on hotel employees perception of organizational justice
  2015       no  empowerment management and economy in starred hotels in gaziantep province
  2021       no  the effects of shocks on turkish tourism demand evidence using panel unit root test
  2019       no  turizm ve otelcilik meslek yuksekokullarinda ogrenim goren ogrencilerin egitim ogretim hizmet kalitesine iliskin goruslerinin belirlenmesi turkiye ornegi
  2008       no  influence of politics and media in the perceptions of turkey as a tourism destination
  2016       no  recreational services quality in thermal tourism termal turizmde rekreasyonel hizmet kalitesi
  2021       no  fostering constructive thinking about the wicked problems of team work and decision making in tourism and geography
  2018       no  revealing the electrical properties of a gneiss dome using three dimensional magnetotellurics burial and exhumation cycles associated with faulting in central anatolia turkey
  2001       no  comparative performance analysis tourists perceptions of turkey relative to other tourist destinations
  2020      YES  smart applications in tourism
  2019       no  turk mutfagindaki fonksiyonel gidalarin gastronomi turizmi acisindan onemi
  2015       no  market orientation strategy and revenue growth in the turkish hotel industry
  2015       no  social media practices applied by city hotels a comparative case study from turkey
  2008       no  internal marketing and hotel performance
  2013       no  turizm destinasyonlarinda gece kuluplerini ziyaret eden yerli genc turistlerin tuketim alişkanliklari uzerine bir araştirma
  2018       no  konaklama isletmelerinde zaman eksenli fiili kapasite hesaplamasi
  2021       no  socio cultural impacts of the pandemic on tourism the case of covid 9
  2015       no  ahs ve bulanik promethee yontemleriyle destinasyon secimini etkileyen faktorlerin onem derecesinin belirlenmesi ve en uygun destinasyon secimi
  2021       no  academic tourism and dynamics of tourism destinations
  2016       no  ise alistirma egitimlerinin is tatmini uzerindeki etkisi otel isletmelerinde bir arastirma the effects of orientations on job satisfaction an application on hotel managements
  2018       no  dietary matters to which tourists with religious sensitivity pay attention during their vacation
  2018       no  visible light induced free radical promoted cationic polymerization using organotellurium compounds
  2009       no  ecotourism potential and management of kavak delta northwest turkey
  2016       no  evaluating the woody species diversity by means of remotely sensed spectral and texture measures in the urban forests
  2019       no  sefer solmaz 2018 ibn fazlan seyahatnâmesi ne gore itil bulgarlari
  2021       no  kriz doneminde otel isletmeciligi alaninda pazarlama finansman ve maliyet odakli eylemler
  2016       no  devlet tesviklerinin muhasebelestirilmesi ve devlet yardimlarinin aciklanmasi standardi tms 20 kapsaminda turizm sektorunde muhasebe islemleri
  2012       no  rekreatif tercihler ve calişma eğilimleri arasindaki ilişkinin incelenmesi turizm ve rekreasyon oğrencileri uzerine bir araştirma
  2017       no  negative word of mouse in the hotel industry a content analysis of online reviews on luxury hotels in jordan
  2016       no  dinamik matematik yaziliminin oteleme ve donme donusumlerinin ogretiminde kullanilmasinin baglamsal ogrenme boyutundan incelenmesi
  2017       no  an exploration of hospitality management competencies in turkey through content analysis of the job ads
  2017       no  an exploration of hospitality management competencies in turkey through content analysis of the job ads
  2019       no  adult only vs child friendly a research about adult only hotels with the case of marmaris
  2019       no  internal marketing practices genuine emotions and their effects on hotel employees customer oriented behaviors
  2003       no  transforming hotels into learning organisations a new strategy for going global
  2021       no  algilanan kent rekabetciliginin kent markalasmasi uzerine etkisi duzce ili ekoturizm ornegi
  2014       no  konaklama hizmetlerinde davranissal niyeti etkileyen hizmet kalitesi boyutlari
  2012       no  gender differences of middle level hotel managers self evaluation ratings in turkey
  2006       no  multiple criteria activity selection for ecotourism planning in igneada
  2020      YES  augmented reality technology applications in museum tourism examples from turkey and throughout the world
  2015       no  surdurulebilir turizm alacati destinasyonuna yonelik bir uygulama
  2015       no  importance performance competitor analysis ipca a study of hospitality companies
  2013       no  otel isletmelerinde calisan memnuniyetine etki eden faktorler kemer lara belek side alanya bolgelerinde bir calisma
  2017       no  yore halkinin iletişim becerileri duzeyi pamukkale destinasyonunda bir uygulama
  2016       no  drought conditions in turkey between 2004 and 2013 via drought indices derived from remotely sensed data
  2021       no  the nexus between economic growth tourism development energy consumption and co 2 emissions in mediterranean countries
  2016       no  price competitiveness of international tourism destinations and tourism demand tourism receipts relationship
  2020       no  teaching architectural design studio remotely the introduction to architectural design course at metu
  2015       no  impact analysis of demand driven shocks in turkey s tourism industry within the framework of the social accounting matrix
  2019       no  hotels and highways the construction of modernization theory in cold war turkey
  2019       no  predicting the medical tourism demand of turkey
  2012       no  understanding small tourism businesses a perspective from turkey
  2017       no  recreation in different cultures analysis of leisure time activities farkli kulturlerde rekreasyon serbest zaman aktivitelerinin incelenmesi
  2021       no  customer online reviews and hospitality employees helping behavior moderating roles of self efficacy and moral identity
  2020      YES  smart tourism smart cities and smart destinations as knowledge management tools
  2015       no  accommodation business management s attitudes towards employees received vocational tourism education
  2016       no  oykunme ve ozgunluk turizm alanindaki liderlik araştirmalari uzerine eleştirel bir inceleme
  2015       no  seyahatnamelerde kuzey kafkasya turkleri
  2019       no  turkiye deki yerel bes yildizli otellerin mobil uygulamalarin incelenmesi
  2021       no  are shocks to tourist arrivals permanent or transitory a comprehensive analysis on the top 20 most visited countries
  2017       no  analysing the difference of perceived destination image according to local people pamukkale case yore halki demografik verilerine gore algilanan destinasyon imaj farkliliginin incelenmesi pamukkale ornegi
  2021       no  the effect of the cyberloafing behaviors of tourism business employees on business motivations and organizational identification
  2020       no  tourism development and economic growth an asymmetric panel causality test
  2020       no  near field communication nfc applications in the tourism industry
  2019       no  on sustainable tourism management in the hittite road
  2015       no  tourism potential between central asia turkish government and turkey and examining it in terms of economy
  1995       no  g f settarov atamalar dunyasina seyahat
